Vine,Tray,TrayFruit,FruitNum,FruitUUID,ShootID,FruitPos,FloweringColour,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
5,226,3,,50057,18,5,y,l,20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,124.30,D1752,9.7,1.8,70.3,30.7,100.6,70.0,30.3,100.2,6.5,7.7,12.8,,18.3,100.4,7.1,12.8,
5,226,4,,50058,19,1,y,n,20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,92.27,D1753,7.3,1.0,70.2,33.6,106.3,71.0,28.1,106.1,7.4,7.0,6.0,,13.4,106.2,7.2,6,
5,226,5,,50059,19,2,y,n,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,131.77,D1754,9.6,1.7,74.3,33.2,101.7,75.6,29.3,100.1,6.3,6.4,9.3,,18.1,100.9,6.4,9.3,
5,226,6,,50060,19,3,y,s,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,133.63,D1755,9.1,1.7,74.9,31.4,100.6,73.7,31.0,100.6,7.3,7.2,10.1,,18.1,100.6,7.2,10.1,
5,226,7,,50061,19,4,y,l,20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,132.81,D1756,10.5,1.9,73.8,37.1,104.9,73.9,27.8,101.3,5.6,7.2,10.0,,17.7,103.1,6.4,10,
5,226,8,,50062,19,5,y,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,140.45,D1757,9.4,1.7,73.3,37.0,103.3,72.3,31.8,101.3,6.5,5.9,10.3,,18.3,102.3,6.2,10.3,
5,226,9,,50063,19,6,y,l,20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,136.03,D1758,9.1,1.7,74.8,33.1,101.3,74.6,29.9,101.6,6.6,7.3,10.0,,18.1,101.5,6.9,10,
5,226,10,,50064,20,1,y,n,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,88.28,D1759,5.9,1.0,72.7,30.4,101.5,70.9,36.2,103.7,7.8,7.2,10.0,,16.5,102.6,7.5,10,
5,226,11,,50065,20,2,y,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,84.73,D1760,5.9,1.0,70.5,31.4,101.2,71.9,31.5,101.3,6.9,5.4,11.0,,16.7,101.3,6.1,11,
5,226,12,,50066,20,3,y,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,110.44,D1761,8.1,1.4,73.8,30.9,100.4,74.1,26.5,99.7,8.1,8.3,10.1,,16.9,100.1,8.2,10.1,
