Vine,FruitID,Combined,ShootID,FruitPos,Flowering,Sub-T Leaf,Height,Notes,SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub
4,66,40066,25,5,y,n,-20,,134161,14,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,134.01,D0211,4.9,0.9,60.5,21.4,100.2,59.1,20.4,99.3,2.8,2.7,16.8,,18.8,99.8,2.7,16.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,67,40067,25,6,y,n,-20,,134161,15,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,140.25,D0212,4.1,0.7,62.2,24.5,99.3,62.2,24.1,99.1,3.0,3.1,15.2,,18.0,99.2,3.1,15.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,68,40068,26,1,w,n,-10,,134161,16,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,136.08,D0213,5.5,1.0,68.9,26.8,99.2,69.3,26.6,100.3,5.8,5.2,14.3,,18.8,99.8,5.5,14.3,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,69,40069,26,2,w,n,-10,,134161,17,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,101.28,D0214,4.6,0.8,66.6,27.9,99.7,66.3,24.6,99.8,4.9,5.0,14.0,,18.0,99.8,5.0,14,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,70,40070,27,1,p,n,-20,,134161,18,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,114.92,D0215,4.4,0.8,65.5,23.1,100.7,66.0,28.7,101.1,4.7,4.5,15.0,,18.4,100.9,4.6,15,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,71,40071,28,1,y,n,-10,,134162,1,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,145.10,D1153,8.4,1.5,64.7,19.8,99.0,65.0,19.6,102.1,5.4,4.3,15.1,,18.3,100.6,4.9,15.1,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,72,40072,28,2,w,n,-10,,134162,2,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,107.05,D1154,6.2,1.1,61.9,22.5,100.0,60.7,19.4,100.2,3.5,3.3,16.0,,18.0,100.1,3.4,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,73,40073,28,3,w,n,10,,134162,3,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,142.96,D1155,8.9,1.6,65.0,24.1,99.9,65.4,22.9,100.5,4.4,4.5,15.0,,17.9,100.2,4.4,15,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,74,40074,28,4,y,n,-10,,134162,4,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,113.98,D1156,7.0,1.3,62.3,25.3,100.4,63.8,27.0,100.6,4.5,3.7,15.0,,18.0,100.5,4.1,15,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,75,40075,28,5,w,n,-10,,134162,5,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,108.00,D1157,5.9,1.0,59.0,20.1,99.6,58.3,22.8,99.1,2.9,2.7,15.3,,17.1,99.4,2.8,15.3,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,76,40076,28,6,w,n,-10,,134162,6,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,119.44,D1158,7.8,1.3,61.3,24.4,99.2,63.7,24.7,100.4,3.8,3.9,15.0,,17.2,99.8,3.8,15,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,77,40077,,,,,,missing,134162,7,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,,,,,,,,,,,,,,,,,,,NF,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,78,40078,29,1,w,n,-20,,134162,8,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,103.75,D1159,6.4,1.2,61.8,25.2,99.7,63.3,23.3,99.9,3.0,3.9,15.2,,18.3,99.8,3.4,15.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,79,40079,29,2,w,n,-20,,134162,9,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,98.59,D1160,6.0,1.0,54.6,20.1,100.9,57.0,20.8,100.7,2.1,2.6,15.4,,17.1,100.8,2.4,15.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,80,40080,30,1,w,n,-20,,134162,10,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,85.11,D1161,6.2,1.1,69.6,22.1,100.5,69.6,27.0,100.7,5.7,5.3,12.3,,17.6,100.6,5.5,12.3,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,81,40081,30,2,w,n,-20,,134162,11,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,81.88,D1162,6.6,1.1,71.2,23.5,101.0,70.9,23.3,100.7,6.0,5.6,10.4,,16.7,100.9,5.8,10.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,82,40082,30,3,p,n,-10,,134162,12,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,111.21,D1163,7.4,1.3,73.9,26.0,101.0,74.1,24.9,100.4,6.3,5.5,11.0,,17.8,100.7,5.9,11,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,83,40083,30,4,w,n,-10,,134162,13,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,98.90,D1164,7.7,1.3,69.1,25.8,98.5,73.8,25.8,100.0,6.5,5.5,10.2,,17.3,99.3,6.0,10.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,84,40084,31,1,p,n,-20,,134162,14,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,165,,113.23,D1165,8.3,1.5,70.2,25.8,99.9,70.5,26.3,100.0,6.1,6.2,13.0,,17.7,100.0,6.1,13,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
