Vine,Tray,TrayFruit,FruitID,Combined,ShootID,FruitPos,Flowering,Height,Sub-T Leaf,Notes,SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub
5,238,16,0285,50285,78,1,y,-20,l,,134235,16,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,135.95,D2497,8.5,1.6,69.8,27.4,99.7,70.7,24.2,99.3,6.1,5.5,13.0,,18.4,99.5,5.8,13,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,17,0286,50286,78,2,y,-10,l,,134235,17,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,122.43,D2498,7.7,1.4,66.7,27.9,99.5,70.2,27.2,99.9,7.8,6.6,12.0,,17.6,99.7,7.2,12,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,18,0287,50287,78,3,.,-10,l,,134235,18,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,96.39,D2499,6.9,1.2,68.1,25.0,100.6,72.4,26.0,100.2,5.9,6.5,10.2,,17.0,100.4,6.2,10.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,239,1,0288,50288,79,1,.,-20,n,,134236,1,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,239,,110.10,D1939,4.7,0.8,71.0,28.7,99.3,70.6,28.7,99.2,4.6,6.5,12.0,,17.6,99.3,5.5,12,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,239,2,0289,50289,79,2,.,-10,m,,134236,2,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,239,,113.97,D1940,5.4,0.9,74.3,34.6,101.3,73.4,33.0,101.5,6.6,7.4,9.8,,16.9,101.4,7.0,9.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,239,3,0290,50290,79,3,.,-20,l,,134236,3,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,239,,127.36,D1941,5.9,1.1,74.6,29.1,100.0,72.3,29.8,100.5,7.2,7.8,11.0,,18.9,100.3,7.5,11,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,239,4,0291,50291,80,1,w,10,n,,134236,4,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,239,,113.97,D1942,5.7,1.0,68.1,40.4,105.8,71.7,36.2,103.6,6.9,6.7,6.5,,17.1,104.7,6.8,6.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,239,5,0292,50292,80,2,w,10,n,,134236,5,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,239,,128.81,D1943,5.1,0.9,71.0,28.0,101.3,72.4,27.0,100.6,7.4,7.6,10.8,,17.9,101.0,7.5,10.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,239,6,0293,50293,80,3,w,10,n,,134236,6,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,239,,118.73,D1944,5.9,1.1,63.0,44.9,105.2,61.3,39.7,107.4,7.9,8.0,10.9,,18.1,106.3,7.9,10.9,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,239,7,0294,50294,80,4,w,10,l,,134236,7,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,239,,133.87,D1945,6.1,1.2,66.0,42.3,102.5,69.8,31.2,101.1,8.2,6.9,12.2,,19.4,101.8,7.5,12.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
