vine_id,from,to,length,to_shoot_id,spur,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
1,281,282,150,186,,12,360,220,24,,,E,13,
1,282,283,80,187,,12,350,320,24,,,E,13,
1,283,284,70,188,,12,350,390,24,,,E,13,
1,284,285,70,189,,12,350,450,24,,,E,13,
1,285,286,60,190,,12,330,500,24,,,E,13,
1,269,287,110,,,,290,410,22,,,E,13,
1,287,288,60,,,,340,450,22,,,E,13,
1,288,289,100,191,,,180,510,22,,,E,13,
1,289,290,60,192,,,150,580,22,,,E,13,
1,290,291,100,193,,,110,670,22,,,E,13,
1,291,292,120,194,,,70,800,22,,,E,13,
1,260,293,260,,,,10,60,28,,14,,14,
1,293,294,30,,,,20,80,28,,,E,14,
1,294,295,60,,,,50,110,28,,,E,14,
1,295,296,90,,,,30,170,28,,,E,14,
1,296,297,60,,,,50,200,28,,,E,14,
1,297,298,60,195,,,80,260,28,,,E,14,
1,298,299,110,196,,,90,380,28,,,E,14,
1,299,300,70,197,,,100,440,28,,,E,14,
1,300,301,130,198,,,90,580,28,,,E,14,
1,301,302,130,199,,,70,700,28,,,E,14,
1,302,303,80,200,,,50,780,28,,,E,14,
1,294,304,120,,,,70,200,34,,,E,14,
1,304,305,180,,,,220,300,34,,,E,14,
1,305,306,180,,,,340,440,34,,,E,14,
1,306,307,150,,,,440,550,34,,,E,14,
1,307,308,80,,,,50,70,34,,,E,14,
1,308,309,90,201,,10,140,210,34,,,E,14,
1,309,310,40,202,,10,170,330,34,,,E,14,
1,310,311,80,203,,10,180,430,34,,,E,14,
1,311,312,80,204,,10,220,750,34,,,E,14,
1,312,313,70,205,,10,220,830,34,,,E,14,
1,313,314,90,206,,10,230,910,34,,,E,14,
1,314,315,120,207,,10,240,10,34,,,E,14,
1,315,316,200,208,,10,240,250,34,,,E,14,
1,316,317,100,209,,10,250,320,34,,,E,14,
1,317,318,250,210,,10,220,560,34,,,E,14,
1,318,319,60,211,,10,210,630,34,,,E,14,
1,319,320,100,212,,10,210,710,34,,,E,14,
1,320,321,330,213,,10,220,1040,34,,,E,14,
1,321,322,180,214,,10,230,210,34,,,E,14,
1,322,323,240,215,,10,230,450,34,,,E,14,
1,293,324,210,,,,220,60,28,,15,,15,
1,324,325,60,,,,230,40,28,,,E,15,
1,325,326,70,,,,230,40,28,,,E,15,
1,326,327,90,,,,300,100,28,,,E,15,
1,327,328,280,,,,320,370,28,,,E,15,
1,328,329,120,,,,340,510,28,,,E,15,
1,329,330,190,216,,11,300,700,28,,,E,15,
1,330,331,80,217,,11,270,790,28,,,E,15,
1,331,332,100,218,,11,230,870,28,,,E,15,
1,332,333,110,219,,11,200,1000,28,,,E,15,
1,333,334,190,220,,11,150,140,29,,,E,15,
1,334,335,90,221,,11,140,250,29,,,E,15,
1,335,336,60,222,,11,130,320,29,,,E,15,
1,336,337,70,223,,11,130,390,29,,,E,15,
1,337,338,270,224,,11,130,640,29,,,E,15,
1,338,339,70,225,,11,130,740,29,,,E,15,
1,339,340,120,226,,11,130,850,29,,,E,15,
1,340,341,80,227,,11,140,940,29,,,E,15,
1,341,342,100,228,,11,130,1000,29,,,E,15,
1,342,343,120,229,,11,120,120,30,,,E,15,
1,343,344,90,230,,11,120,200,30,,,E,15,
1,344,345,100,231,,11,160,290,30,,,E,15,
1,345,346,90,232,,11,170,370,30,,,E,15,
1,346,347,60,233,,11,190,430,30,,,E,15,
1,325,348,80,,,,300,40,27,,,W,15,
1,348,349,80,,,,360,40,27,,,W,15,
1,349,350,70,,,,430,40,27,,,W,15,
1,350,351,50,,,,460,10,27,,,W,15,
1,351,352,30,234,,,400,0,27,,,W,15,
1,348,353,180,,,,370,200,27,,,W,15,
1,353,354,80,,,,330,270,27,,,W,15,
1,354,355,130,,,,330,380,27,,,W,15,
1,355,356,100,,,,400,380,27,,,W,15,
1,356,357,290,,,,240,450,33,,,W,15,
1,357,358,90,235,,,310,520,33,,,W,15,
1,358,359,40,236,,,320,570,33,,,W,15,
1,359,360,60,237,,,380,640,33,,,W,15,
1,360,361,90,238,,,380,720,33,,,W,15,
1,361,362,80,239,,,380,770,33,,,W,15,
1,362,363,80,240,,,500,910,33,,,W,15,
1,355,364,80,,,,310,420,27,,,W,15,
1,364,365,100,,,,220,440,27,,,W,15,
1,365,366,100,241,,,220,550,27,,,W,15,
1,366,367,50,,,,220,600,27,,,W,15,
1,367,368,150,242,,6,150,720,27,,,W,15,
