Vine,Tray,TrayFruit,FruitUUID,ShootUUID,Quadrant,QuadrantFromLeader,QuadrantFromTrunk,FruitPos,FloweringColour,FloweringDate,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
1,7,17,10125,1-58,6,3,3,2,w,2019-11-06,s,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,118.14,D1860,7.65,1.38,64.51,33.31,103.6,64.45,30.03,102,1.58,2.68,14.2,,18.03921569,102.8,2.13,14.2,
1,7,18,10126,1-58,6,3,3,3,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,121.47,D1861,8.32,1.57,64.63,31.54,102.4,63,28.57,102.4,2.93,2.86,14.8,,18.87019231,102.4,2.895,14.8,
1,8,1,10127,1-59,12,3,2,1,w,2019-11-06,n,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,102.4,D0725,7.72,1.43,62.29,37.97,107.5,63.53,33.2,106.5,2.65,2.63,14,,18.52331606,107,2.64,14,
1,8,2,10128,1-59,12,3,2,2,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,138.48,D0726,9.68,1.77,63.31,35.57,105.3,64.53,31.29,103.8,3.51,3.46,14,,18.28512397,104.55,3.485,14,
1,8,3,10129,1-60,12,3,2,1,w,2019-11-06,s,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,116.3,D0727,8.63,1.55,64.51,34.26,104.5,64.53,28.01,103.8,3.35,3.22,14.2,,17.96060255,104.15,3.285,14.2,
1,8,4,10130,1-60,12,3,2,2,w,2019-11-06,s,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,124.82,D0728,9.06,1.67,62.21,39.25,108.3,64.6,35.16,105.6,2.82,2.91,14,,18.43267108,106.95,2.865,14,
1,8,5,10131,1-60,12,3,2,3,w,2019-11-06,m,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,142.27,D0729,10.21,1.92,62.9,38.8,106.3,64.8,34.5,106.1,3.35,2.79,14.2,,18.80509305,106.2,3.07,14.2,
1,8,6,10132,1-60,12,3,2,4,w,2019-11-06,l,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,134.1,D0730,9.35,1.76,61.09,38.95,107,64.63,28.61,103.4,3.32,2.87,14.5,,18.82352941,105.2,3.095,14.5,
1,8,7,10133,1-61,12,3,2,1,w,2019-11-06,m,-30,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,127.7,D0731,9.01,1.69,61.66,39.16,109.3,62.6,36.63,105.5,3.51,2.44,14.5,,18.75693674,107.4,2.975,14.5,
1,8,8,10134,1-61,12,3,2,2,w,2019-11-06,l,-30,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,123.91,D0732,8.28,1.56,63.98,32.44,103.2,62.25,27.22,101.8,2.39,2.84,15,,18.84057971,102.5,2.615,15,
1,8,9,10135,1-63,3,1,3,1,y,2019-11-04,l,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,138.83,D0733,8.45,1.54,59.68,42.14,109,60.7,34.81,104.8,2.34,4.11,14.8,,18.22485207,106.9,3.225,14.8,
1,8,10,10136,1-64,3,1,3,1,p,2019-11-08,m,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,143.94,D0734,9.49,1.73,61.29,41.97,109.4,63.49,35.73,107,3.12,3.01,14.2,,18.22971549,108.2,3.065,14.2,
